RecordingTime [ms];Time of Day [h:m:s:ms];Trial;Stimulus;Participant;Category Right;Point of Regard Right X [px];Point of Regard Right Y [px]
2812243,92;10:10:55:923;Trial074;Video 18;P35;Separator;-;-
2812259,51;10:10:55:939;Trial074;Video 18;P35;Saccade;895,69;720,13
2812276,18;10:10:55:955;Trial074;Video 18;P35;Fixation;897,63;677,80
2812292,83;10:10:55:972;Trial074;Video 18;P35;Fixation;893,59;651,84
2812309,44;10:10:55:989;Trial074;Video 18;P35;Fixation;896,22;658,42
2812326,14;10:10:56:005;Trial074;Video 18;P35;Fixation;898,02;626,88
2812342,75;10:10:56:022;Trial074;Video 18;P35;Fixation;892,91;606,54
2812359,47;10:10:56:039;Trial074;Video 18;P35;Fixation;899,65;602,44
2812376,25;10:10:56:055;Trial074;Video 18;P35;Fixation;895,15;602,34
2812392,86;10:10:56:072;Trial074;Video 18;P35;Fixation;906,60;609,95
2812409,45;10:10:56:089;Trial074;Video 18;P35;Fixation;903,02;603,65
2812426,05;10:10:56:105;Trial074;Video 18;P35;Fixation;915,20;601,95
2812442,75;10:10:56:122;Trial074;Video 18;P35;Fixation;912,09;599,74
2812459,43;10:10:56:139;Trial074;Video 18;P35;Saccade;920,99;597,82
2812476,1;10:10:56:155;Trial074;Video 18;P35;Saccade;968,00;597,30
2812492,68;10:10:56:172;Trial074;Video 18;P35;Saccade;1198,56;604,28
2812509,39;10:10:56:188;Trial074;Video 18;P35;Fixation;1371,30;613,15
2812526,01;10:10:56:205;Trial074;Video 18;P35;Fixation;1351,49;609,73
2812542,72;10:10:56:222;Trial074;Video 18;P35;Fixation;1358,12;604,73
2812559,4;10:10:56:238;Trial074;Video 18;P35;Fixation;1361,64;599,95
2812576,05;10:10:56:255;Trial074;Video 18;P35;Fixation;1362,26;597,26
2812592,69;10:10:56:272;Trial074;Video 18;P35;Fixation;1369,11;593,08
2812609,33;10:10:56:288;Trial074;Video 18;P35;Fixation;1371,72;590,19
2812625,98;10:10:56:305;Trial074;Video 18;P35;Fixation;1374,62;583,86
2812642,64;10:10:56:322;Trial074;Video 18;P35;Fixation;1370,97;576,29
2812659,4;10:10:56:338;Trial074;Video 18;P35;Fixation;1377,38;558,37
2812676,02;10:10:56:355;Trial074;Video 18;P35;Fixation;1378,86;558,10
2812692,67;10:10:56:372;Trial074;Video 18;P35;Fixation;1378,18;557,75
2812709,34;10:10:56:388;Trial074;Video 18;P35;Fixation;1385,21;548,11
2812725,98;10:10:56:405;Trial074;Video 18;P35;Fixation;1378,97;542,91
2812742,63;10:10:56:422;Trial074;Video 18;P35;Fixation;1378,43;548,97
2812759,3;10:10:56:438;Trial074;Video 18;P35;Fixation;1380,67;542,22
2812775,97;10:10:56:455;Trial074;Video 18;P35;Fixation;1378,32;540,19
2812792,61;10:10:56:472;Trial074;Video 18;P35;Fixation;1387,17;539,80
2812809,23;10:10:56:488;Trial074;Video 18;P35;Fixation;1379,23;537,01
2812825,88;10:10:56:505;Trial074;Video 18;P35;Fixation;1377,74;541,93
2812842,55;10:10:56:522;Trial074;Video 18;P35;Fixation;1374,50;546,01
2812859,26;10:10:56:538;Trial074;Video 18;P35;Fixation;1368,75;553,37
2812875,99;10:10:56:555;Trial074;Video 18;P35;Fixation;1372,24;556,99
2812892,65;10:10:56:572;Trial074;Video 18;P35;Fixation;1371,98;556,19
2812909,27;10:10:56:588;Trial074;Video 18;P35;Fixation;1368,79;567,23
2812925,92;10:10:56:605;Trial074;Video 18;P35;Fixation;1366,08;574,64
2812942,5;10:10:56:622;Trial074;Video 18;P35;Fixation;1367,70;591,27
2812959,26;10:10:56:638;Trial074;Video 18;P35;Fixation;1365,90;590,53
2812975,83;10:10:56:655;Trial074;Video 18;P35;Fixation;1361,94;586,69
2812992,54;10:10:56:672;Trial074;Video 18;P35;Fixation;1357,48;596,59
2813009,16;10:10:56:688;Trial074;Video 18;P35;Fixation;1358,96;592,72
2813025,8;10:10:56:705;Trial074;Video 18;P35;Fixation;1358,01;593,24
2813042,52;10:10:56:722;Trial074;Video 18;P35;Fixation;1357,52;600,30
2813059,2;10:10:56:738;Trial074;Video 18;P35;Fixation;1354,63;602,43
2813075,91;10:10:56:755;Trial074;Video 18;P35;Fixation;1353,62;606,27
2813092,44;10:10:56:772;Trial074;Video 18;P35;Fixation;1351,95;604,31
2813109,2;10:10:56:788;Trial074;Video 18;P35;Fixation;1350,48;605,18
2813125,87;10:10:56:805;Trial074;Video 18;P35;Fixation;1347,73;605,13
2813142,49;10:10:56:822;Trial074;Video 18;P35;Fixation;1346,62;598,93
2813159,19;10:10:56:838;Trial074;Video 18;P35;Saccade;1344,02;602,60
2813175,82;10:10:56:855;Trial074;Video 18;P35;Saccade;1169,44;595,27
2813192,48;10:10:56:872;Trial074;Video 18;P35;Fixation;953,17;594,25
2813209,17;10:10:56:888;Trial074;Video 18;P35;Fixation;878,21;588,03
2813225,82;10:10:56:905;Trial074;Video 18;P35;Fixation;870,90;587,60
2813242,47;10:10:56:922;Trial074;Video 18;P35;Fixation;873,41;587,80
2813259,17;10:10:56:938;Trial074;Video 18;P35;Fixation;867,18;587,68
2813275,75;10:10:56:955;Trial074;Video 18;P35;Fixation;868,98;584,76
2813292,43;10:10:56:972;Trial074;Video 18;P35;Fixation;868,47;584,35
2813309,11;10:10:56:988;Trial074;Video 18;P35;Fixation;867,83;581,29
2813325,71;10:10:57:005;Trial074;Video 18;P35;Fixation;868,83;581,08
2813342,41;10:10:57:021;Trial074;Video 18;P35;Fixation;868,40;578,70
2813359,05;10:10:57:038;Trial074;Video 18;P35;Fixation;865,99;579,32
2813375,69;10:10:57:055;Trial074;Video 18;P35;Fixation;864,95;580,39
2813392,4;10:10:57:071;Trial074;Video 18;P35;Fixation;864,26;581,91
2813409,08;10:10:57:088;Trial074;Video 18;P35;Fixation;866,52;582,11
2813425,68;10:10:57:105;Trial074;Video 18;P35;Fixation;867,07;583,41
2813442,4;10:10:57:121;Trial074;Video 18;P35;Fixation;870,36;581,86
2813459,06;10:10:57:138;Trial074;Video 18;P35;Fixation;867,70;581,59
2813475,79;10:10:57:155;Trial074;Video 18;P35;Fixation;869,63;577,68
2813492,39;10:10:57:171;Trial074;Video 18;P35;Fixation;869,09;577,95
2813509,04;10:10:57:188;Trial074;Video 18;P35;Fixation;870,69;577,64
2813525,71;10:10:57:205;Trial074;Video 18;P35;Fixation;870,82;580,01
2813542,28;10:10:57:221;Trial074;Video 18;P35;Fixation;871,25;582,91
2813559,06;10:10:57:238;Trial074;Video 18;P35;Fixation;871,95;583,94
2813575,61;10:10:57:255;Trial074;Video 18;P35;Fixation;873,08;579,77
2813592,32;10:10:57:271;Trial074;Video 18;P35;Fixation;872,88;580,84
2813608,99;10:10:57:288;Trial074;Video 18;P35;Fixation;872,58;577,56
2813625,66;10:10:57:305;Trial074;Video 18;P35;Fixation;872,90;577,89
2813642,31;10:10:57:321;Trial074;Video 18;P35;Fixation;874,77;576,78
2813658,98;10:10:57:338;Trial074;Video 18;P35;Fixation;875,49;579,25
2813675,65;10:10:57:355;Trial074;Video 18;P35;Fixation;876,04;579,28
2813692,28;10:10:57:371;Trial074;Video 18;P35;Fixation;874,97;580,20
2813708,95;10:10:57:388;Trial074;Video 18;P35;Fixation;875,34;578,40
2813725,55;10:10:57:405;Trial074;Video 18;P35;Fixation;874,36;580,62
2813742,3;10:10:57:421;Trial074;Video 18;P35;Fixation;874,44;576,28
2813759;10:10:57:438;Trial074;Video 18;P35;Saccade;873,19;579,62
2813775,59;10:10:57:455;Trial074;Video 18;P35;Saccade;974,88;578,26
2813792,2;10:10:57:471;Trial074;Video 18;P35;Fixation;1213,69;576,27
2813808,87;10:10:57:488;Trial074;Video 18;P35;Fixation;1257,75;579,13
2813825,57;10:10:57:505;Trial074;Video 18;P35;Fixation;1265,64;578,06
2813842,17;10:10:57:521;Trial074;Video 18;P35;Fixation;1262,19;581,38
2813858,84;10:10:57:538;Trial074;Video 18;P35;Fixation;1253,39;581,65
2813875,56;10:10:57:555;Trial074;Video 18;P35;Fixation;1249,43;580,93
2813892,17;10:10:57:571;Trial074;Video 18;P35;Fixation;1250,73;583,79
2813908,88;10:10:57:588;Trial074;Video 18;P35;Fixation;1252,42;584,50
2813925,48;10:10:57:605;Trial074;Video 18;P35;Fixation;1251,13;586,58
2813942,18;10:10:57:621;Trial074;Video 18;P35;Fixation;1249,31;585,37
2813958,89;10:10:57:638;Trial074;Video 18;P35;Fixation;1251,06;585,94
