RecordingTime [ms];Time of Day [h:m:s:ms];Trial;Stimulus;Participant;Category Right;Point of Regard Right X [px];Point of Regard Right Y [px]
4522735,03;16:42:50:429;Trial026;Video 18;P01;Separator;-;-
4522737;16:42:50:431;Trial026;Video 18;P01;Fixation;935,13;597,61
4522753,73;16:42:50:448;Trial026;Video 18;P01;Fixation;928,97;590,2
4522770,26;16:42:50:464;Trial026;Video 18;P01;Fixation;936,81;589,56
4522786,82;16:42:50:481;Trial026;Video 18;P01;Fixation;940,74;589,14
4522803,47;16:42:50:497;Trial026;Video 18;P01;Fixation;938,3;591,41
4522820,21;16:42:50:514;Trial026;Video 18;P01;Fixation;934,29;592,67
4522836,79;16:42:50:531;Trial026;Video 18;P01;Fixation;938;596,29
4522853,6;16:42:50:548;Trial026;Video 18;P01;Fixation;925,25;598,3
4522870,11;16:42:50:564;Trial026;Video 18;P01;Fixation;929,39;589,98
4522886,76;16:42:50:581;Trial026;Video 18;P01;Fixation;943,03;589,72
4522903,44;16:42:50:597;Trial026;Video 18;P01;Fixation;934,59;600,44
4522920,07;16:42:50:614;Trial026;Video 18;P01;Fixation;938,84;594,45
4522936,82;16:42:50:631;Trial026;Video 18;P01;Saccade;948,6;594,16
4522953,42;16:42:50:647;Trial026;Video 18;P01;Saccade;1283,82;631,49
4522970,19;16:42:50:664;Trial026;Video 18;P01;Saccade;1380,28;635,29
4522986,72;16:42:50:681;Trial026;Video 18;P01;Saccade;1295,63;613,6
4523003,4;16:42:50:697;Trial026;Video 18;P01;Fixation;1351,84;640,48
4523020,33;16:42:50:714;Trial026;Video 18;P01;Fixation;1320,55;647,26
4523036,78;16:42:50:731;Trial026;Video 18;P01;Fixation;1328,28;655,01
4523053,57;16:42:50:748;Trial026;Video 18;P01;Fixation;1359;651,41
4523070,11;16:42:50:764;Trial026;Video 18;P01;Fixation;1326,26;658,45
4523086,72;16:42:50:781;Trial026;Video 18;P01;Fixation;1335,7;656,86
4523103,37;16:42:50:797;Trial026;Video 18;P01;Fixation;1326,42;651,24
4523120,01;16:42:50:814;Trial026;Video 18;P01;Saccade;1349,51;653,37
4523136,76;16:42:50:831;Trial026;Video 18;P01;Fixation;1420,77;653,74
4523153,35;16:42:50:847;Trial026;Video 18;P01;Fixation;1394,32;653,43
