RecordingTime [ms];Time of Day [h:m:s:ms];Trial;Stimulus;Participant;Category Right;Point of Regard Right X [px];Point of Regard Right Y [px]
2494312,58;10:05:37:991;Trial002;Video 26;P35;Separator;-;-
2494316,01;10:05:37:994;Trial002;Video 26;P35;Fixation;980,80;562,10
2494332,87;10:05:38:011;Trial002;Video 26;P35;Fixation;979,47;563,00
2494349,32;10:05:38:028;Trial002;Video 26;P35;Fixation;979,90;564,62
2494365,98;10:05:38:044;Trial002;Video 26;P35;Fixation;979,49;564,97
2494382,73;10:05:38:061;Trial002;Video 26;P35;Fixation;978,83;564,45
2494399,25;10:05:38:078;Trial002;Video 26;P35;Fixation;977,30;563,67
2494415,92;10:05:38:094;Trial002;Video 26;P35;Fixation;977,45;568,06
2494432,64;10:05:38:111;Trial002;Video 26;P35;Fixation;975,53;567,10
2494449,29;10:05:38:128;Trial002;Video 26;P35;Fixation;975,78;568,58
2494465,88;10:05:38:144;Trial002;Video 26;P35;Fixation;975,01;570,51
2494482,62;10:05:38:161;Trial002;Video 26;P35;Fixation;976,79;570,53
2494499,2;10:05:38:178;Trial002;Video 26;P35;Fixation;975,40;571,73
2494515,87;10:05:38:194;Trial002;Video 26;P35;Fixation;977,12;574,96
2494532,58;10:05:38:211;Trial002;Video 26;P35;Saccade;897,32;576,26
2494549,19;10:05:38:228;Trial002;Video 26;P35;Saccade;648,28;577,36
2494565,92;10:05:38:244;Trial002;Video 26;P35;Fixation;533,66;575,37
2494582,58;10:05:38:261;Trial002;Video 26;P35;Fixation;541,45;561,32
2494599,16;10:05:38:278;Trial002;Video 26;P35;Fixation;540,46;546,22
2494616,01;10:05:38:294;Trial002;Video 26;P35;Fixation;537,64;560,90
2494632,48;10:05:38:311;Trial002;Video 26;P35;Fixation;536,53;547,21
2494649,22;10:05:38:328;Trial002;Video 26;P35;Fixation;538,58;543,94
2494665,85;10:05:38:344;Trial002;Video 26;P35;Fixation;540,86;530,69
2494682,57;10:05:38:361;Trial002;Video 26;P35;Fixation;541,34;534,14
2494699,2;10:05:38:378;Trial002;Video 26;P35;Fixation;542,45;532,03
2494715,78;10:05:38:394;Trial002;Video 26;P35;Fixation;541,84;526,95
2494732,45;10:05:38:411;Trial002;Video 26;P35;Fixation;543,05;525,03
2494749,11;10:05:38:428;Trial002;Video 26;P35;Fixation;546,77;525,13
2494765,76;10:05:38:444;Trial002;Video 26;P35;Fixation;543,80;525,47
2494782,63;10:05:38:461;Trial002;Video 26;P35;Fixation;547,07;527,93
2494799,16;10:05:38:478;Trial002;Video 26;P35;Saccade;548,39;528,13
2494815,82;10:05:38:494;Trial002;Video 26;P35;Fixation;548,84;664,15
2494832,42;10:05:38:511;Trial002;Video 26;P35;Fixation;553,08;670,48
2494849,14;10:05:38:528;Trial002;Video 26;P35;Fixation;555,45;667,35
2494865,79;10:05:38:544;Trial002;Video 26;P35;Fixation;557,17;689,70
2494882,47;10:05:38:561;Trial002;Video 26;P35;Fixation;558,53;702,28
2494899,12;10:05:38:578;Trial002;Video 26;P35;Fixation;561,27;697,14
2494915,76;10:05:38:594;Trial002;Video 26;P35;Fixation;563,58;697,42
2494932,46;10:05:38:611;Trial002;Video 26;P35;Fixation;567,79;694,16
2494949,03;10:05:38:627;Trial002;Video 26;P35;Fixation;567,67;702,64
2494965,74;10:05:38:644;Trial002;Video 26;P35;Fixation;569,96;695,04
2494982,37;10:05:38:661;Trial002;Video 26;P35;Fixation;574,66;701,69
2494999,07;10:05:38:677;Trial002;Video 26;P35;Fixation;574,28;700,61
2495015,74;10:05:38:694;Trial002;Video 26;P35;Fixation;576,89;702,66
2495032,32;10:05:38:711;Trial002;Video 26;P35;Fixation;578,76;703,45
2495048,99;10:05:38:727;Trial002;Video 26;P35;Fixation;580,70;702,89
2495065,65;10:05:38:744;Trial002;Video 26;P35;Fixation;585,71;700,45
2495082,35;10:05:38:761;Trial002;Video 26;P35;Fixation;587,88;700,65
2495098,97;10:05:38:777;Trial002;Video 26;P35;Fixation;590,90;700,67
2495115,68;10:05:38:794;Trial002;Video 26;P35;Fixation;595,92;701,47
2495132,39;10:05:38:811;Trial002;Video 26;P35;Fixation;596,91;700,82
2495149,02;10:05:38:827;Trial002;Video 26;P35;Fixation;598,17;701,80
2495165,66;10:05:38:844;Trial002;Video 26;P35;Fixation;601,24;693,25
2495182,29;10:05:38:861;Trial002;Video 26;P35;Fixation;601,78;695,87
2495199;10:05:38:877;Trial002;Video 26;P35;Fixation;603,99;693,49
2495215,66;10:05:38:894;Trial002;Video 26;P35;Fixation;605,94;695,78
2495232,26;10:05:38:911;Trial002;Video 26;P35;Fixation;607,75;697,02
2495248,98;10:05:38:927;Trial002;Video 26;P35;Fixation;610,89;695,01
2495265,62;10:05:38:944;Trial002;Video 26;P35;Fixation;610,69;706,59
2495282,31;10:05:38:961;Trial002;Video 26;P35;Fixation;608,65;744,44
2495298,9;10:05:38:977;Trial002;Video 26;P35;Fixation;608,21;722,05
2495315,55;10:05:38:994;Trial002;Video 26;P35;Fixation;608,36;748,59
2495332,31;10:05:39:011;Trial002;Video 26;P35;Saccade;607,06;745,08
2495348,93;10:05:39:027;Trial002;Video 26;P35;Fixation;606,63;758,08
2495365,56;10:05:39:044;Trial002;Video 26;P35;Fixation;608,21;747,61
2495382,27;10:05:39:061;Trial002;Video 26;P35;Fixation;608,66;758,63
2495398,86;10:05:39:077;Trial002;Video 26;P35;Fixation;608,89;762,32
2495415,69;10:05:39:094;Trial002;Video 26;P35;Fixation;606,18;757,98
2495432,17;10:05:39:111;Trial002;Video 26;P35;Fixation;605,56;761,15
2495448,92;10:05:39:127;Trial002;Video 26;P35;Fixation;604,93;763,78
2495465,5;10:05:39:144;Trial002;Video 26;P35;Fixation;608,38;764,01
2495482,14;10:05:39:161;Trial002;Video 26;P35;Fixation;606,66;764,62
2495498,81;10:05:39:177;Trial002;Video 26;P35;Fixation;608,10;763,40
2495515,46;10:05:39:194;Trial002;Video 26;P35;Fixation;606,60;765,46
2495532,14;10:05:39:211;Trial002;Video 26;P35;Fixation;610,18;764,35
