RecordingTime [ms];Time of Day [h:m:s:ms];Trial;Stimulus;Participant;Category Right;Point of Regard Right X [px];Point of Regard Right Y [px]
5252805,69;16:55:00:499;Trial191;Video 26;P01;Separator;-;-
5252807,51;16:55:00:501;Trial191;Video 26;P01;Fixation;935,48;615,43
5252823,86;16:55:00:517;Trial191;Video 26;P01;Fixation;936,21;613,61
5252840,52;16:55:00:534;Trial191;Video 26;P01;Fixation;935,30;604,05
5252857,12;16:55:00:550;Trial191;Video 26;P01;Fixation;937,13;597,12
5252873,84;16:55:00:567;Trial191;Video 26;P01;Fixation;938,79;598,67
5252890,46;16:55:00:584;Trial191;Video 26;P01;Fixation;935,92;596,21
5252907,19;16:55:00:601;Trial191;Video 26;P01;Fixation;939,61;600,14
5252923,76;16:55:00:617;Trial191;Video 26;P01;Fixation;940,27;602,58
5252940,5;16:55:00:634;Trial191;Video 26;P01;Fixation;939,05;592,69
5252957,14;16:55:00:650;Trial191;Video 26;P01;Fixation;938,08;584,23
5252973,79;16:55:00:667;Trial191;Video 26;P01;Fixation;938,26;590,12
5252990,42;16:55:00:684;Trial191;Video 26;P01;Fixation;935,00;593,52
5253007,08;16:55:00:700;Trial191;Video 26;P01;Fixation;938,59;593,31
5253023,77;16:55:00:717;Trial191;Video 26;P01;Fixation;938,22;591,07
5253040,46;16:55:00:734;Trial191;Video 26;P01;Saccade;933,53;599,87
5253057,05;16:55:00:750;Trial191;Video 26;P01;Saccade;648,07;582,79
5253073,75;16:55:00:767;Trial191;Video 26;P01;Fixation;447,48;504,54
5253090,39;16:55:00:784;Trial191;Video 26;P01;Fixation;449,93;533,96
5253107,05;16:55:00:800;Trial191;Video 26;P01;Fixation;437,83;534,01
5253123,74;16:55:00:817;Trial191;Video 26;P01;Fixation;445,98;494,51
5253140,42;16:55:00:834;Trial191;Video 26;P01;Fixation;466,56;523,44
5253157,03;16:55:00:850;Trial191;Video 26;P01;Fixation;466,09;524,46
5253173,65;16:55:00:867;Trial191;Video 26;P01;Fixation;457,87;522,52
5253190,33;16:55:00:884;Trial191;Video 26;P01;Fixation;453,22;527,62
5253207,12;16:55:00:900;Trial191;Video 26;P01;Fixation;456,13;512,44
5253223,64;16:55:00:917;Trial191;Video 26;P01;Fixation;471,62;523,62
5253240,31;16:55:00:934;Trial191;Video 26;P01;Fixation;472,43;511,54
5253256,96;16:55:00:950;Trial191;Video 26;P01;Saccade;489,29;516,39
5253273,62;16:55:00:967;Trial191;Video 26;P01;Fixation;512,78;522,80
5253290,29;16:55:00:984;Trial191;Video 26;P01;Fixation;483,84;522,66
5253306,95;16:55:01:000;Trial191;Video 26;P01;Fixation;509,36;513,60
5253323,61;16:55:01:017;Trial191;Video 26;P01;Fixation;493,16;510,91
5253340,27;16:55:01:034;Trial191;Video 26;P01;Fixation;514,00;507,18
5253356,98;16:55:01:050;Trial191;Video 26;P01;Fixation;482,37;494,55
5253373,58;16:55:01:067;Trial191;Video 26;P01;Fixation;509,43;502,60
5253390,31;16:55:01:084;Trial191;Video 26;P01;Fixation;520,22;498,04
5253406,91;16:55:01:100;Trial191;Video 26;P01;Fixation;520,81;505,86
5253423,62;16:55:01:117;Trial191;Video 26;P01;Fixation;526,89;520,33
5253440,29;16:55:01:134;Trial191;Video 26;P01;Fixation;527,92;510,59
5253456,9;16:55:01:150;Trial191;Video 26;P01;Saccade;533,91;527,93
5253473,54;16:55:01:167;Trial191;Video 26;P01;Saccade;556,81;563,85
5253490,22;16:55:01:184;Trial191;Video 26;P01;Fixation;556,46;520,03
5253506,86;16:55:01:200;Trial191;Video 26;P01;Fixation;534,49;526,32
5253523,54;16:55:01:217;Trial191;Video 26;P01;Fixation;543,48;539,98
5253540,21;16:55:01:234;Trial191;Video 26;P01;Fixation;548,57;523,46
5253556,86;16:55:01:250;Trial191;Video 26;P01;Fixation;545,01;475,94
5253573,5;16:55:01:267;Trial191;Video 26;P01;Fixation;547,49;529,49
5253590,18;16:55:01:283;Trial191;Video 26;P01;Fixation;548,77;512,35
5253606,9;16:55:01:300;Trial191;Video 26;P01;Fixation;545,64;468,87
5253623,48;16:55:01:317;Trial191;Video 26;P01;Fixation;548,50;520,65
5253640,27;16:55:01:334;Trial191;Video 26;P01;Fixation;545,46;520,77
5253656,8;16:55:01:350;Trial191;Video 26;P01;Fixation;550,79;504,74
5253673,49;16:55:01:367;Trial191;Video 26;P01;Fixation;542,30;508,24
5253690,13;16:55:01:383;Trial191;Video 26;P01;Fixation;563,31;534,51
5253706,79;16:55:01:400;Trial191;Video 26;P01;Fixation;548,63;508,25
5253723,5;16:55:01:417;Trial191;Video 26;P01;Saccade;548,14;517,03
5253740,11;16:55:01:433;Trial191;Video 26;P01;Fixation;564,54;540,94
5253756,83;16:55:01:450;Trial191;Video 26;P01;Fixation;565,87;518,91
5253773,42;16:55:01:467;Trial191;Video 26;P01;Fixation;594,97;574,33
5253790,11;16:55:01:483;Trial191;Video 26;P01;Fixation;571,44;562,50
5253806,77;16:55:01:500;Trial191;Video 26;P01;Fixation;598,12;558,69
5253823,44;16:55:01:517;Trial191;Video 26;P01;Fixation;599,29;572,15
5253840,09;16:55:01:533;Trial191;Video 26;P01;Fixation;580,49;542,10
5253856,74;16:55:01:550;Trial191;Video 26;P01;Fixation;587,32;536,02
5253873,43;16:55:01:567;Trial191;Video 26;P01;Saccade;597,62;564,34
5253890,07;16:55:01:583;Trial191;Video 26;P01;Fixation;614,34;571,65
5253906,77;16:55:01:600;Trial191;Video 26;P01;Fixation;608,48;545,07
5253923,38;16:55:01:617;Trial191;Video 26;P01;Fixation;630,61;557,47
5253940,03;16:55:01:633;Trial191;Video 26;P01;Fixation;640,81;569,23
5253956,7;16:55:01:650;Trial191;Video 26;P01;Fixation;613,84;550,23
5253973,34;16:55:01:667;Trial191;Video 26;P01;Fixation;637,79;540,72
5253990,03;16:55:01:683;Trial191;Video 26;P01;Fixation;635,77;555,12
5254006,78;16:55:01:700;Trial191;Video 26;P01;Fixation;629,16;541,53
5254023,33;16:55:01:717;Trial191;Video 26;P01;Fixation;630,24;545,85
5254040,13;16:55:01:733;Trial191;Video 26;P01;Fixation;637,45;559,62
5254056,65;16:55:01:750;Trial191;Video 26;P01;Fixation;658,12;571,17
5254073,31;16:55:01:767;Trial191;Video 26;P01;Fixation;660,75;557,98
5254090,04;16:55:01:783;Trial191;Video 26;P01;Fixation;651,67;548,06
5254106,64;16:55:01:800;Trial191;Video 26;P01;Fixation;655,40;534,42
5254123,3;16:55:01:817;Trial191;Video 26;P01;Fixation;651,63;551,32
5254139,97;16:55:01:833;Trial191;Video 26;P01;Fixation;648,33;549,98
5254156,61;16:55:01:850;Trial191;Video 26;P01;Fixation;662,29;548,95
5254173,27;16:55:01:867;Trial191;Video 26;P01;Fixation;666,48;569,81
5254189,96;16:55:01:883;Trial191;Video 26;P01;Fixation;659,80;552,41
5254206,6;16:55:01:900;Trial191;Video 26;P01;Fixation;656,86;542,46
5254223,28;16:55:01:917;Trial191;Video 26;P01;Fixation;669,84;551,21
5254240,02;16:55:01:933;Trial191;Video 26;P01;Fixation;670,74;554,21
5254256,59;16:55:01:950;Trial191;Video 26;P01;Fixation;664,97;546,67
5254273,28;16:55:01:967;Trial191;Video 26;P01;Saccade;663,70;541,98
5254289,92;16:55:01:983;Trial191;Video 26;P01;Fixation;683,98;543,22
5254306,57;16:55:02:000;Trial191;Video 26;P01;Fixation;675,16;529,86
5254323,23;16:55:02:017;Trial191;Video 26;P01;Fixation;685,30;539,57
5254339,89;16:55:02:033;Trial191;Video 26;P01;Fixation;690,26;559,34
5254356,55;16:55:02:050;Trial191;Video 26;P01;Fixation;707,86;547,34
5254373,19;16:55:02:066;Trial191;Video 26;P01;Fixation;693,16;547,88
5254389,88;16:55:02:083;Trial191;Video 26;P01;Fixation;687,75;539,71
5254406,75;16:55:02:100;Trial191;Video 26;P01;Fixation;697,48;541,83
5254423,18;16:55:02:116;Trial191;Video 26;P01;Saccade;701,48;537,11
5254439,88;16:55:02:133;Trial191;Video 26;P01;Fixation;706,73;745,07
5254456,51;16:55:02:150;Trial191;Video 26;P01;Fixation;705,92;768,12
5254473,18;16:55:02:166;Trial191;Video 26;P01;Fixation;716,33;747,01
5254489,82;16:55:02:183;Trial191;Video 26;P01;Fixation;711,05;750,50
5254506,5;16:55:02:200;Trial191;Video 26;P01;Fixation;718,25;756,00
5254523,2;16:55:02:217;Trial191;Video 26;P01;Fixation;722,18;757,86
5254539,81;16:55:02:233;Trial191;Video 26;P01;Fixation;717,89;757,05
5254556,53;16:55:02:250;Trial191;Video 26;P01;Fixation;720,33;754,70
5254573,15;16:55:02:266;Trial191;Video 26;P01;Fixation;720,83;759,46
5254589,8;16:55:02:283;Trial191;Video 26;P01;Fixation;736,78;755,89
5254606,45;16:55:02:300;Trial191;Video 26;P01;Fixation;737,05;756,83
5254623,12;16:55:02:316;Trial191;Video 26;P01;Fixation;736,90;755,39
5254639,88;16:55:02:333;Trial191;Video 26;P01;Fixation;746,13;758,21
5254656,43;16:55:02:350;Trial191;Video 26;P01;Fixation;748,96;759,55
5254673,14;16:55:02:366;Trial191;Video 26;P01;Fixation;752,06;756,89
5254689,76;16:55:02:383;Trial191;Video 26;P01;Fixation;749,64;758,40
5254706,42;16:55:02:400;Trial191;Video 26;P01;Saccade;761,47;755,70
5254723,32;16:55:02:417;Trial191;Video 26;P01;Saccade;1101,55;737,18
5254739,73;16:55:02:433;Trial191;Video 26;P01;Fixation;1339,13;573,22
5254756,45;16:55:02:450;Trial191;Video 26;P01;Fixation;1380,99;587,48
5254773,04;16:55:02:466;Trial191;Video 26;P01;Fixation;1380,97;606,92
5254789,73;16:55:02:483;Trial191;Video 26;P01;Fixation;1385,64;597,78
5254806,37;16:55:02:500;Trial191;Video 26;P01;Fixation;1387,19;604,84
5254823,02;16:55:02:516;Trial191;Video 26;P01;Fixation;1378,63;596,22
5254839,76;16:55:02:533;Trial191;Video 26;P01;Fixation;1395,37;589,05
5254856,35;16:55:02:550;Trial191;Video 26;P01;Fixation;1389,31;593,26
5254873;16:55:02:566;Trial191;Video 26;P01;Fixation;1395,00;582,80
5254889,74;16:55:02:583;Trial191;Video 26;P01;Fixation;1398,50;572,92
5254906,4;16:55:02:600;Trial191;Video 26;P01;Saccade;1392,82;566,70
5254923;16:55:02:616;Trial191;Video 26;P01;Fixation;1406,68;566,47
5254939,66;16:55:02:633;Trial191;Video 26;P01;Fixation;1406,37;596,17
5254956,32;16:55:02:650;Trial191;Video 26;P01;Fixation;1401,64;577,86
5254972,96;16:55:02:666;Trial191;Video 26;P01;Fixation;1408,86;567,00
5254989,65;16:55:02:683;Trial191;Video 26;P01;Fixation;1408,18;572,93
5255006,3;16:55:02:700;Trial191;Video 26;P01;Fixation;1415,74;569,54
5255022,95;16:55:02:716;Trial191;Video 26;P01;Fixation;1409,74;581,32
5255039,7;16:55:02:733;Trial191;Video 26;P01;Fixation;1415,56;587,78
5255056,28;16:55:02:750;Trial191;Video 26;P01;Fixation;1415,52;565,37
5255072,99;16:55:02:766;Trial191;Video 26;P01;Fixation;1413,23;576,40
5255089,6;16:55:02:783;Trial191;Video 26;P01;Fixation;1406,05;576,67
5255106,25;16:55:02:800;Trial191;Video 26;P01;Fixation;1410,71;572,41
5255122,92;16:55:02:816;Trial191;Video 26;P01;Fixation;1412,17;577,60
5255139,58;16:55:02:833;Trial191;Video 26;P01;Saccade;1400,90;583,86
5255156,23;16:55:02:850;Trial191;Video 26;P01;Saccade;1241,59;499,70
5255172,89;16:55:02:866;Trial191;Video 26;P01;Fixation;1161,02;528,64
5255189,58;16:55:02:883;Trial191;Video 26;P01;Fixation;1173,31;495,31
